,Unnamed: 0,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
54,54,1.84,0.81,0.0,0.3,0.07,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.65,0.98,0.0,0
55,55,1.4,0.52,0.0,0.16,0.1,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.02,0.0,0.63,0.78,0.0,0
56,56,0.91,0.31,0.0,0.06,0.1,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.02,0.0,0.75,0.47,0.0,0
57,57,0.36,0.04,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.01,0.03,0.02,0.01,0.74,0.14,0.0,0
58,58,0.04,0.0,0.0,0.0,0.14,0.02,0.0,0.0,0.03,0.0,0.01,0.05,0.0,0.03,0.58,0.0,0.0,0
59,59,0.0,0.0,0.0,0.0,0.16,0.02,0.0,0.0,0.05,0.0,0.05,0.05,0.0,0.03,0.5,0.0,0.0,0
60,60,0.0,0.0,0.0,0.0,0.13,0.04,0.0,0.0,0.03,0.0,0.16,0.07,0.0,0.02,0.41,0.0,0.0,0
61,61,0.0,0.0,0.0,0.0,0.13,0.02,0.0,0.0,0.02,0.0,0.21,0.12,0.0,0.0,0.46,0.02,0.0,0
62,62,0.0,0.0,0.0,0.0,0.11,0.02,0.0,0.0,0.0,0.0,0.22,0.14,0.0,0.0,0.38,0.03,0.0,0
63,63,0.0,0.0,0.0,0.0,0.21,0.09,0.0,0.0,0.0,0.03,0.16,0.12,0.0,0.0,0.42,0.03,0.35,0
64,64,0.0,0.0,0.0,0.0,0.32,0.21,0.0,0.0,0.01,0.06,0.15,0.07,0.0,0.0,0.4,0.01,0.69,0
65,65,0.03,0.0,0.0,0.0,0.4,0.31,0.0,0.0,0.07,0.06,0.21,0.05,0.0,0.0,0.5,0.0,1.39,0
66,66,0.05,0.0,0.0,0.0,0.35,0.26,0.0,0.0,0.13,0.03,0.21,0.02,0.0,0.0,0.62,0.0,1.78,0
67,67,0.07,0.0,0.0,0.0,0.28,0.16,0.0,0.0,0.18,0.01,0.21,0.0,0.0,0.0,0.73,0.0,2.18,0
68,68,0.07,0.0,0.0,0.0,0.23,0.07,0.06,0.0,0.18,0.01,0.11,0.0,0.0,0.0,0.75,0.15,2.28,0
69,69,0.05,0.0,0.0,0.0,0.25,0.11,0.11,0.0,0.16,0.01,0.09,0.0,0.0,0.0,0.71,0.29,2.29,0
70,70,0.03,0.0,0.0,0.0,0.32,0.3,0.15,0.0,0.12,0.0,0.11,0.0,0.0,0.0,0.7,0.54,2.27,0
71,71,0.0,0.0,0.0,0.0,0.38,0.49,0.15,0.0,0.09,0.0,0.11,0.0,0.03,0.0,0.87,0.68,2.18,0
72,72,0.0,0.0,0.0,0.0,0.41,0.6,0.19,0.0,0.09,0.0,0.08,0.0,0.04,0.0,1.07,0.8,2.12,0
73,73,0.0,0.0,0.0,0.0,0.4,0.47,0.21,0.0,0.12,0.0,0.0,0.0,0.04,0.0,1.26,0.86,2.12,0
74,74,0.0,0.0,0.0,0.0,0.42,0.4,0.2,0.0,0.15,0.0,0.0,0.0,0.03,0.0,1.27,1.0,2.07,0
75,75,0.0,0.0,0.0,0.0,0.43,0.37,0.15,0.0,0.14,0.0,0.0,0.0,0.02,0.0,1.26,1.13,2.04,0
76,76,0.0,0.0,0.0,0.0,0.43,0.55,0.17,0.0,0.11,0.0,0.0,0.0,0.03,0.0,1.29,1.23,2.01,0
77,77,0.0,0.0,0.0,0.0,0.44,0.7,0.18,0.02,0.09,0.0,0.0,0.0,0.05,0.0,1.37,1.36,1.99,0
78,78,0.0,0.0,0.0,0.0,0.43,0.82,0.22,0.06,0.06,0.0,0.0,0.0,0.1,0.0,1.44,1.54,1.93,0
79,79,0.0,0.0,0.0,0.0,0.41,0.76,0.19,0.08,0.05,0.0,0.0,0.0,0.13,0.0,1.45,1.68,1.85,0
80,80,0.0,0.0,0.0,0.0,0.38,0.73,0.24,0.06,0.02,0.0,0.0,0.0,0.1,0.0,1.4,1.67,1.89,0
81,81,0.0,0.0,0.0,0.0,0.36,0.72,0.3,0.05,0.01,0.0,0.0,0.0,0.05,0.0,1.41,1.7,1.91,0
82,82,0.0,0.0,0.0,0.0,0.37,0.81,0.35,0.03,0.0,0.0,0.0,0.0,0.05,0.0,1.35,1.68,2.01,0
83,83,0.05,0.0,0.0,0.0,0.41,0.78,0.38,0.11,0.0,0.0,0.0,0.03,0.07,0.0,1.35,1.72,1.98,0
84,84,0.08,0.0,0.0,0.0,0.44,0.74,0.39,0.16,0.0,0.0,0.0,0.05,0.08,0.0,1.3,1.67,2.01,0
85,85,0.09,0.0,0.0,0.0,0.47,0.71,0.45,0.22,0.01,0.08,0.0,0.12,0.03,0.0,1.31,1.71,1.89,0
86,86,0.12,0.0,0.0,0.0,0.4,0.72,0.51,0.21,0.02,0.14,0.0,0.09,0.02,0.0,1.27,1.69,1.79,0
87,87,0.15,0.0,0.0,0.0,0.38,0.7,0.53,0.21,0.05,0.18,0.0,0.13,0.05,0.0,1.17,1.62,1.8,0
88,88,0.22,0.0,0.0,0.0,0.35,0.67,0.53,0.24,0.05,0.16,0.0,0.14,0.05,0.0,1.11,1.55,1.84,0
89,89,0.2,0.0,0.0,0.0,0.36,0.55,0.5,0.23,0.04,0.17,0.0,0.17,0.05,0.0,1.09,1.6,1.86,0
90,90,0.2,0.0,0.0,0.0,0.33,0.39,0.51,0.24,0.04,0.21,0.0,0.16,0.01,0.0,1.16,1.69,1.83,0
91,91,0.13,0.0,0.0,0.0,0.31,0.33,0.51,0.26,0.09,0.17,0.0,0.09,0.18,0.0,1.26,1.72,1.94,0
92,92,0.1,0.0,0.0,0.0,0.3,0.31,0.5,0.29,0.14,0.1,0.0,0.06,0.33,0.0,1.33,1.68,2.03,0
93,93,0.12,0.0,0.0,0.0,0.31,0.27,0.46,0.24,0.21,0.03,0.0,0.01,0.5,0.0,1.39,1.57,2.08,0
94,94,0.1,0.0,0.0,0.0,0.44,0.53,0.47,0.14,0.27,0.08,0.0,0.04,0.49,0.0,1.37,1.57,1.91,0
95,95,0.07,0.0,0.0,0.0,0.51,0.79,0.44,0.05,0.29,0.08,0.0,0.06,0.34,0.0,1.21,1.45,1.47,0
96,96,0.0,0.0,0.0,0.0,0.54,1.02,0.34,0.01,0.28,0.17,0.01,0.09,0.18,0.0,0.92,1.17,0.86,0
97,97,0.0,0.0,0.0,0.0,0.45,0.86,0.2,0.0,0.26,0.24,0.07,0.07,0.04,0.0,0.7,0.83,0.38,0
98,98,0.0,0.0,0.0,0.0,0.43,0.65,0.11,0.0,0.24,0.36,0.15,0.1,0.02,0.02,0.61,0.53,0.14,0
99,99,0.0,0.0,0.0,0.0,0.44,0.62,0.08,0.0,0.25,0.38,0.2,0.13,0.04,0.04,0.54,0.36,0.08,0
100,100,0.0,0.0,0.0,0.0,0.39,0.58,0.08,0.0,0.22,0.25,0.15,0.19,0.06,0.04,0.58,0.41,0.0,0
101,101,0.0,0.0,0.0,0.0,0.32,0.58,0.12,0.0,0.21,0.12,0.08,0.24,0.18,0.02,0.72,0.64,0.09,0
102,102,0.0,0.0,0.0,0.0,0.26,0.57,0.2,0.0,0.15,0.01,0.03,0.24,0.29,0.0,0.92,0.95,0.19,0
103,103,0.0,0.0,0.0,0.0,0.27,0.47,0.27,0.0,0.12,0.0,0.02,0.22,0.39,0.0,1.02,1.07,0.19,0
104,104,0.0,0.0,0.0,0.0,0.3,0.42,0.29,0.0,0.1,0.0,0.02,0.13,0.4,0.0,0.98,1.06,0.12,0
105,105,0.0,0.0,0.0,0.0,0.31,0.43,0.29,0.0,0.06,0.0,0.01,0.12,0.37,0.01,0.83,1.14,0.06,0
106,106,0.0,0.0,0.0,0.0,0.26,0.34,0.2,0.0,0.03,0.1,0.01,0.29,0.33,0.22,0.48,1.01,0.06,0
107,107,0.0,0.0,0.0,0.0,0.19,0.39,0.1,0.0,0.0,0.1,0.0,0.45,0.26,0.43,0.17,0.88,0.05,0
108,108,0.0,0.0,0.0,0.0,0.12,0.37,0.02,0.0,0.0,0.1,0.0,0.59,0.17,0.67,0.0,0.76,0.0,0
109,109,0.0,0.0,0.0,0.0,0.09,0.52,0.0,0.0,0.0,0.0,0.0,0.56,0.13,0.73,0.0,0.76,0.0,0
110,110,0.0,0.0,0.0,0.0,0.09,0.54,0.0,0.0,0.0,0.0,0.0,0.51,0.14,0.78,0.0,0.92,0.0,0
111,111,0.0,0.0,0.0,0.0,0.12,0.59,0.07,0.0,0.0,0.0,0.0,0.43,0.14,0.57,0.14,1.15,0.0,0
112,112,0.0,0.0,0.0,0.0,0.11,0.59,0.18,0.0,0.0,0.0,0.0,0.36,0.1,0.3,0.34,1.51,0.0,0
113,113,0.0,0.0,0.0,0.0,0.09,0.46,0.29,0.0,0.0,0.0,0.0,0.31,0.03,0.04,0.55,1.67,0.0,0
114,114,0.0,0.0,0.0,0.0,0.12,0.33,0.26,0.0,0.0,0.0,0.0,0.23,0.0,0.08,0.41,1.32,0.0,0
115,115,0.0,0.0,0.0,0.0,0.2,0.38,0.21,0.0,0.04,0.0,0.0,0.18,0.0,0.13,0.2,0.82,0.0,0
116,116,0.0,0.0,0.0,0.0,0.32,0.55,0.12,0.0,0.12,0.03,0.01,0.19,0.0,0.19,0.03,0.4,0.0,0
117,117,0.0,0.0,0.0,0.0,0.34,0.5,0.08,0.0,0.15,0.03,0.01,0.24,0.0,0.19,0.03,0.27,0.0,0
118,118,0.0,0.0,0.0,0.0,0.35,0.27,0.03,0.0,0.13,0.03,0.01,0.19,0.0,0.21,0.03,0.23,0.0,0
119,119,0.0,0.0,0.0,0.0,0.32,0.1,0.0,0.0,0.08,0.0,0.0,0.23,0.0,0.22,0.03,0.11,0.0,0
120,120,0.0,0.0,0.0,0.0,0.31,0.27,0.0,0.0,0.07,0.0,0.0,0.27,0.0,0.18,0.03,0.12,0.0,0
121,121,0.0,0.0,0.0,0.02,0.27,0.38,0.0,0.0,0.05,0.0,0.0,0.4,0.0,0.12,0.03,0.06,0.0,0
122,122,0.0,0.0,0.0,0.06,0.23,0.45,0.0,0.0,0.02,0.0,0.0,0.43,0.0,0.06,0.0,0.06,0.0,0
123,123,0.0,0.0,0.0,0.06,0.17,0.32,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.09,0.0,0.0,0.0,0
124,124,0.0,0.0,0.0,0.04,0.1,0.47,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.29,0.0,0.07,0.0,0
125,125,0.0,0.0,0.0,0.0,0.05,0.54,0.01,0.0,0.0,0.0,0.0,0.64,0.0,0.47,0.0,0.26,0.0,0
126,126,0.0,0.0,0.0,0.02,0.02,0.58,0.04,0.0,0.0,0.0,0.0,0.7,0.03,0.58,0.0,0.39,0.0,0
127,127,0.0,0.0,0.0,0.02,0.03,0.48,0.04,0.0,0.0,0.0,0.0,0.72,0.03,0.54,0.0,0.43,0.0,0
128,128,0.0,0.0,0.0,0.02,0.02,0.46,0.03,0.0,0.0,0.0,0.0,0.66,0.03,0.53,0.0,0.33,0.0,0
