,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
62,0.0,0.0,0.4,0.0,0.38,0.69,0.0,0.23,0.06,0.18,0.32,0.24,0.08,0.0,0.82,0.4,0.04,fake
63,0.0,0.0,0.36,0.0,0.39,0.67,0.0,0.23,0.08,0.23,0.3,0.23,0.12,0.0,0.86,0.32,0.0,fake
64,0.0,0.0,0.4,0.0,0.4,0.77,0.0,0.33,0.12,0.24,0.25,0.23,0.07,0.0,0.8,0.37,0.0,fake
65,0.0,0.0,0.47,0.0,0.42,0.91,0.0,0.43,0.15,0.28,0.22,0.2,0.04,0.0,0.73,0.43,0.03,fake
66,0.0,0.0,0.62,0.0,0.43,0.96,0.0,0.48,0.13,0.3,0.24,0.17,0.0,0.0,0.72,0.42,0.03,fake
67,0.0,0.0,0.68,0.0,0.41,0.85,0.0,0.47,0.07,0.36,0.24,0.17,0.0,0.0,0.75,0.4,0.03,fake
68,0.0,0.0,0.72,0.0,0.34,0.74,0.02,0.42,0.01,0.3,0.39,0.17,0.0,0.0,0.67,0.29,0.01,fake
69,0.0,0.0,0.67,0.0,0.33,0.72,0.02,0.45,0.01,0.23,0.47,0.13,0.0,0.0,0.54,0.22,0.01,fake
70,0.0,0.0,0.58,0.0,0.31,0.7,0.03,0.44,0.0,0.07,0.51,0.09,0.0,0.0,0.44,0.17,0.0,fake
71,0.0,0.0,0.43,0.0,0.31,0.63,0.01,0.45,0.0,0.04,0.44,0.09,0.0,0.0,0.43,0.11,0.0,fake
72,0.0,0.0,0.35,0.0,0.3,0.67,0.01,0.43,0.0,0.12,0.39,0.13,0.0,0.0,0.38,0.18,0.0,fake
73,0.0,0.0,0.3,0.0,0.3,0.71,0.0,0.44,0.0,0.19,0.4,0.14,0.0,0.0,0.35,0.15,0.0,fake
74,0.0,0.0,0.35,0.0,0.34,0.85,0.0,0.4,0.0,0.16,0.45,0.34,0.0,0.0,0.22,0.19,0.0,fake
75,0.0,0.0,0.33,0.0,0.37,0.88,0.0,0.34,0.0,0.07,0.51,0.51,0.0,0.0,0.11,0.17,0.0,fake
76,0.0,0.0,0.37,0.0,0.41,0.93,0.0,0.22,0.0,0.03,0.59,0.73,0.0,0.0,0.0,0.24,0.0,fake
77,0.0,0.0,0.39,0.0,0.41,0.92,0.0,0.17,0.0,0.03,0.64,0.68,0.0,0.0,0.0,0.38,0.0,fake
78,0.0,0.0,0.41,0.0,0.43,0.93,0.0,0.13,0.0,0.03,0.63,0.67,0.0,0.01,0.0,0.43,0.0,fake
79,0.0,0.0,0.41,0.0,0.41,0.95,0.0,0.13,0.0,0.0,0.63,0.65,0.0,0.01,0.0,0.44,0.0,fake
80,0.0,0.0,0.47,0.0,0.36,1.02,0.0,0.09,0.0,0.0,0.62,0.71,0.0,0.01,0.0,0.34,0.0,fake
81,0.0,0.0,0.52,0.0,0.32,1.16,0.0,0.05,0.0,0.0,0.62,0.76,0.0,0.0,0.0,0.29,0.01,fake
82,0.0,0.0,0.52,0.0,0.27,1.08,0.0,0.03,0.0,0.0,0.55,0.74,0.0,0.0,0.0,0.24,0.06,fake
83,0.0,0.0,0.45,0.0,0.27,0.89,0.0,0.03,0.0,0.0,0.44,0.76,0.0,0.0,0.0,0.19,0.08,fake
84,0.0,0.0,0.37,0.0,0.23,0.69,0.0,0.02,0.0,0.02,0.43,0.72,0.0,0.0,0.08,0.16,0.32,fake
85,0.0,0.0,0.31,0.0,0.2,0.66,0.0,0.02,0.0,0.04,0.54,0.75,0.0,0.0,0.19,0.12,0.57,fake
86,0.0,0.0,0.3,0.0,0.27,0.75,0.0,0.09,0.0,0.04,0.62,0.67,0.0,0.0,0.25,0.09,0.72,fake
87,0.0,0.0,0.33,0.0,0.39,0.84,0.0,0.16,0.0,0.02,0.62,0.6,0.0,0.0,0.26,0.05,0.65,fake
88,0.0,0.0,0.37,0.0,0.5,0.9,0.0,0.21,0.0,0.0,0.56,0.52,0.0,0.0,0.23,0.0,0.52,fake
89,0.0,0.0,0.45,0.0,0.52,1.0,0.0,0.19,0.0,0.05,0.45,0.39,0.1,0.0,0.35,0.03,0.45,fake
90,0.0,0.0,0.57,0.0,0.52,1.12,0.0,0.14,0.0,0.07,0.31,0.24,0.21,0.0,0.45,0.05,0.38,fake
91,0.0,0.0,0.64,0.0,0.55,1.26,0.01,0.22,0.0,0.16,0.15,0.12,0.21,0.0,0.62,0.35,0.27,fake
92,0.0,0.0,0.62,0.0,0.57,1.26,0.02,0.34,0.0,0.22,0.12,0.13,0.11,0.0,0.7,0.63,0.25,fake
93,0.0,0.0,0.58,0.0,0.59,1.24,0.03,0.47,0.0,0.33,0.12,0.18,0.02,0.0,0.77,0.93,0.2,fake
94,0.0,0.0,0.64,0.0,0.56,1.31,0.02,0.46,0.0,0.35,0.15,0.25,0.05,0.0,0.66,0.77,0.19,fake
95,0.0,0.0,0.66,0.0,0.5,1.29,0.01,0.46,0.03,0.42,0.1,0.32,0.05,0.0,0.54,0.66,0.15,fake
96,0.0,0.0,0.67,0.0,0.42,1.26,0.0,0.44,0.06,0.45,0.05,0.37,0.03,0.0,0.44,0.54,0.11,fake
97,0.0,0.0,0.72,0.0,0.4,1.13,0.0,0.38,0.06,0.34,0.1,0.33,0.08,0.0,0.4,0.61,0.06,fake
98,0.0,0.0,0.81,0.0,0.39,1.1,0.0,0.32,0.03,0.17,0.11,0.26,0.1,0.0,0.39,0.59,0.01,fake
99,0.0,0.0,0.98,0.0,0.42,1.14,0.0,0.27,0.0,0.0,0.11,0.22,0.18,0.0,0.55,0.81,0.01,fake
100,0.0,0.0,1.09,0.0,0.43,1.16,0.0,0.3,0.0,0.0,0.01,0.24,0.15,0.0,0.73,0.99,0.01,fake
101,0.0,0.0,1.14,0.0,0.39,1.15,0.05,0.39,0.0,0.0,0.0,0.35,0.12,0.0,0.83,1.32,0.01,fake
102,0.0,0.0,1.15,0.0,0.33,1.07,0.1,0.48,0.0,0.0,0.0,0.42,0.05,0.0,0.77,1.39,0.0,fake
103,0.0,0.0,1.11,0.0,0.28,1.04,0.15,0.54,0.0,0.0,0.0,0.48,0.0,0.0,0.72,1.5,0.0,fake
104,0.0,0.0,0.97,0.0,0.24,0.83,0.1,0.35,0.0,0.0,0.15,0.66,0.0,0.19,0.49,1.11,0.1,fake
105,0.0,0.0,0.8,0.0,0.19,0.72,0.06,0.2,0.0,0.0,0.31,0.83,0.0,0.37,0.25,0.73,0.18,fake
106,0.0,0.0,0.66,0.0,0.19,0.6,0.0,0.12,0.0,0.0,0.4,1.01,0.0,0.48,0.0,0.5,0.29,fake
107,0.0,0.0,0.66,0.0,0.25,0.7,0.0,0.19,0.03,0.0,0.3,0.95,0.02,0.39,0.0,0.58,0.24,fake
108,0.0,0.0,0.68,0.0,0.33,0.84,0.0,0.25,0.05,0.0,0.2,0.78,0.04,0.25,0.13,0.71,0.21,fake
109,0.0,0.0,0.68,0.0,0.37,0.93,0.0,0.27,0.06,0.0,0.22,0.62,0.06,0.19,0.29,0.7,0.18,fake
110,0.0,0.0,0.71,0.0,0.36,1.07,0.0,0.32,0.03,0.0,0.19,0.46,0.09,0.11,0.36,0.65,0.18,fake
111,0.0,0.0,0.74,0.0,0.34,1.07,0.0,0.35,0.02,0.0,0.15,0.45,0.1,0.09,0.32,0.57,0.15,fake
112,0.0,0.0,0.74,0.0,0.3,1.07,0.0,0.36,0.02,0.0,0.06,0.4,0.11,0.06,0.27,0.48,0.11,fake
113,0.0,0.0,0.7,0.0,0.3,0.94,0.0,0.35,0.02,0.0,0.05,0.44,0.1,0.06,0.28,0.42,0.06,fake
114,0.0,0.0,0.63,0.0,0.29,0.85,0.0,0.33,0.01,0.0,0.03,0.47,0.1,0.04,0.31,0.39,0.06,fake
115,0.0,0.0,0.61,0.0,0.29,0.8,0.0,0.34,0.0,0.0,0.0,0.52,0.11,0.02,0.31,0.37,0.08,fake
116,0.0,0.0,0.59,0.0,0.31,0.83,0.0,0.39,0.0,0.0,0.0,0.51,0.08,0.0,0.38,0.4,0.1,fake
117,0.0,0.0,0.61,0.0,0.31,0.84,0.0,0.44,0.0,0.0,0.0,0.5,0.08,0.0,0.4,0.4,0.13,fake
118,0.0,0.0,0.67,0.0,0.34,0.91,0.0,0.46,0.02,0.0,0.06,0.48,0.04,0.0,0.39,0.34,0.11,fake
119,0.0,0.0,0.75,0.0,0.31,0.97,0.0,0.46,0.03,0.0,0.06,0.39,0.04,0.0,0.35,0.32,0.17,fake
120,0.0,0.0,0.78,0.0,0.29,1.06,0.0,0.48,0.03,0.0,0.06,0.25,0.02,0.0,0.33,0.34,0.11,fake
121,0.0,0.0,0.75,0.0,0.26,1.07,0.0,0.5,0.01,0.02,0.0,0.14,0.05,0.0,0.34,0.39,0.08,fake
122,0.0,0.0,0.71,0.0,0.26,1.1,0.01,0.54,0.0,0.08,0.0,0.16,0.08,0.0,0.33,0.41,0.0,fake
123,0.0,0.0,0.69,0.0,0.24,1.01,0.01,0.5,0.0,0.08,0.07,0.31,0.08,0.0,0.22,0.38,0.0,fake
124,0.0,0.0,0.65,0.0,0.23,0.95,0.01,0.43,0.0,0.06,0.14,0.44,0.07,0.0,0.11,0.34,0.0,fake
