,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,label
67,0.28,0.0,0.5,0.05,0.0,0.0,0.07,0.38,0.0,0.0,0.0,0.2,0.17,0.0,1.87,1.62,0.72,real
68,0.31,0.0,0.55,0.2,0.0,0.0,0.04,0.42,0.0,0.0,0.0,0.21,0.06,0.0,1.85,1.64,0.65,real
69,0.39,0.0,0.58,0.44,0.0,0.0,0.01,0.51,0.02,0.0,0.0,0.22,0.1,0.0,1.79,1.6,0.67,real
70,0.38,0.0,0.54,0.43,0.0,0.0,0.04,0.41,0.02,0.0,0.0,0.29,0.09,0.0,1.7,1.72,0.6,real
71,0.26,0.0,0.37,0.55,0.0,0.0,0.03,0.3,0.02,0.0,0.0,0.27,0.09,0.0,1.51,1.76,0.68,real
72,0.14,0.07,0.22,0.55,0.0,0.0,0.08,0.28,0.01,0.0,0.0,0.25,0.0,0.0,1.27,1.57,0.65,real
73,0.03,0.14,0.04,0.88,0.0,0.0,0.08,0.4,0.01,0.0,0.0,0.17,0.0,0.0,1.15,1.24,0.79,real
74,0.03,0.14,0.03,0.83,0.0,0.0,0.07,0.54,0.07,0.07,0.0,0.16,0.0,0.07,1.02,0.95,0.75,real
75,0.04,0.11,0.0,0.8,0.0,0.0,0.03,0.58,0.12,0.07,0.0,0.21,0.0,0.1,1.01,0.91,0.77,real
76,0.04,0.04,0.0,0.58,0.0,0.0,0.0,0.53,0.21,0.07,0.0,0.28,0.0,0.14,1.06,1.0,0.58,real
77,0.04,0.04,0.0,0.49,0.0,0.0,0.0,0.49,0.18,0.06,0.0,0.28,0.0,0.09,1.18,0.78,0.5,real
78,0.0,0.07,0.02,0.34,0.0,0.0,0.0,0.36,0.19,0.06,0.0,0.24,0.0,0.08,1.38,0.88,0.42,real
79,0.08,0.38,0.12,0.29,0.0,0.0,0.0,0.31,0.1,0.06,0.0,0.24,0.0,0.04,1.55,0.84,0.48,real
80,0.22,0.59,0.15,0.18,0.0,0.0,0.0,0.29,0.09,0.05,0.0,0.18,0.0,0.02,1.76,0.98,0.47,real
81,0.29,0.67,0.2,0.14,0.0,0.0,0.0,0.28,0.06,0.05,0.0,0.11,0.0,0.0,1.78,0.95,0.43,real
82,0.29,0.54,0.1,0.06,0.0,0.0,0.0,0.2,0.08,0.05,0.0,0.03,0.0,0.0,1.66,0.92,0.41,real
83,0.36,0.47,0.18,0.02,0.0,0.0,0.0,0.09,0.06,0.04,0.08,0.14,0.0,0.06,1.55,0.94,0.42,real
84,0.29,0.32,0.11,0.0,0.0,0.0,0.0,0.01,0.04,0.11,0.09,0.2,0.0,0.18,1.26,0.8,0.49,real
85,0.26,0.4,0.11,0.0,0.0,0.0,0.0,0.01,0.03,0.11,0.15,0.2,0.0,0.18,1.33,0.78,0.55,real
86,0.09,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.07,0.17,0.15,0.0,0.12,1.47,0.56,0.5,real
87,0.09,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.21,0.14,0.0,0.0,1.75,0.41,0.49,real
88,0.03,0.36,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.21,0.14,0.0,0.02,1.67,0.29,0.5,real
89,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.11,0.05,0.0,0.02,1.56,0.42,0.62,real
90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.06,0.01,0.0,0.02,1.62,0.48,0.75,real
91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.8,0.6,0.88,real
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.03,0.12,0.0,0.15,1.69,0.61,0.87,real
93,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.19,0.03,0.15,0.1,0.29,0.0,0.39,1.51,0.61,0.71,real
94,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.31,0.05,0.25,0.1,0.53,0.0,0.51,1.35,0.66,0.66,real
